,SEX,RAC1P
843313,2.0,1.0
160004,2.0,2.0
273335,1.0,1.0
1084374,2.0,2.0
764789,1.0,1.0
1568438,2.0,1.0
791423,1.0,1.0
372753,1.0,1.0
706272,1.0,1.0
1275449,1.0,1.0
363366,1.0,1.0
441571,1.0,1.0
560687,2.0,1.0
357353,2.0,1.0
1322159,2.0,1.0
808474,1.0,1.0
1415494,1.0,1.0
69350,2.0,2.0
1156142,1.0,1.0
1354818,2.0,1.0
1322474,2.0,1.0
1583912,1.0,1.0
499330,1.0,1.0
94223,1.0,1.0
953480,2.0,1.0
1589984,1.0,1.0
428907,2.0,1.0
569528,1.0,1.0
737993,2.0,1.0
62416,1.0,1.0
419847,2.0,1.0
1396222,2.0,1.0
415701,2.0,1.0
1076721,2.0,1.0
942426,2.0,1.0
1433705,1.0,1.0
95008,1.0,8.0
1429032,1.0,1.0
613593,1.0,1.0
60607,1.0,3.0
568129,2.0,2.0
1596579,1.0,1.0
1546019,2.0,1.0
1532942,2.0,2.0
800277,2.0,1.0
868767,1.0,1.0
284217,2.0,1.0
295994,1.0,1.0
464728,1.0,1.0
1135765,2.0,1.0
262713,2.0,6.0
899518,1.0,8.0
392011,1.0,1.0
1413361,2.0,2.0
985915,2.0,6.0
697561,2.0,1.0
1611421,2.0,1.0
1006870,2.0,1.0
1188582,1.0,2.0
669911,1.0,1.0
1019278,1.0,1.0
260740,2.0,1.0
1066204,1.0,1.0
773527,2.0,1.0
1371990,1.0,2.0
543342,1.0,1.0
939456,1.0,1.0
321826,1.0,8.0
792657,1.0,2.0
768723,1.0,1.0
1136006,2.0,1.0
139240,1.0,1.0
565647,1.0,1.0
130743,2.0,1.0
61415,2.0,1.0
1140006,2.0,1.0
379223,1.0,1.0
216316,1.0,2.0
19157,2.0,2.0
73766,1.0,1.0
1271440,2.0,1.0
169021,1.0,1.0
1627601,1.0,1.0
1646275,2.0,1.0
1351645,2.0,1.0
69317,1.0,1.0
496115,1.0,6.0
1347728,2.0,1.0
715533,2.0,1.0
450316,1.0,2.0
1197343,1.0,1.0
1280180,1.0,1.0
732557,2.0,2.0
311671,1.0,2.0
1314995,2.0,1.0
1477730,1.0,1.0
452751,2.0,2.0
181606,2.0,1.0
532771,2.0,1.0
751284,1.0,1.0
115465,2.0,6.0
499760,1.0,1.0
1395484,2.0,1.0
1516085,2.0,1.0
849450,1.0,1.0
66706,2.0,1.0
381571,1.0,2.0
808912,2.0,1.0
930666,2.0,2.0
53827,1.0,1.0
317765,1.0,1.0
740716,1.0,2.0
939975,2.0,6.0
226927,1.0,1.0
801658,1.0,1.0
1137448,2.0,1.0
1563404,2.0,1.0
951751,2.0,1.0
768594,1.0,2.0
1265514,1.0,8.0
946456,1.0,1.0
1413687,1.0,2.0
299302,1.0,1.0
320994,2.0,2.0
1078160,2.0,1.0
1549003,2.0,1.0
783530,2.0,1.0
1575159,2.0,1.0
194163,2.0,2.0
1287008,1.0,1.0
660163,2.0,1.0
1245467,1.0,1.0
660023,2.0,1.0
1353511,1.0,1.0
992518,1.0,1.0
463108,1.0,1.0
890204,1.0,1.0
1097026,2.0,1.0
939696,2.0,1.0
496245,1.0,1.0
208229,1.0,1.0
1043645,2.0,1.0
757380,1.0,1.0
984732,1.0,6.0
1496508,2.0,6.0
1354474,1.0,1.0
1620465,1.0,1.0
990908,1.0,1.0
407258,2.0,2.0
1019586,1.0,1.0
813965,1.0,1.0
777850,1.0,1.0
1535567,2.0,6.0
992536,2.0,1.0
1654792,2.0,9.0
1232417,1.0,2.0
261896,2.0,6.0
482623,1.0,1.0
1065185,1.0,1.0
1378070,1.0,2.0
163191,1.0,8.0
1054642,2.0,1.0
1584733,2.0,1.0
450579,2.0,1.0
570463,2.0,1.0
561609,2.0,1.0
320048,2.0,2.0
978832,1.0,6.0
661313,2.0,2.0
1363784,2.0,1.0
1382342,2.0,1.0
598355,1.0,8.0
1429017,2.0,1.0
681206,2.0,8.0
504560,1.0,6.0
1554672,1.0,1.0
1470438,2.0,9.0
498811,2.0,1.0
1323856,2.0,1.0
348149,1.0,1.0
1465368,2.0,1.0
1304286,2.0,1.0
404940,1.0,1.0
296615,1.0,1.0
1074110,1.0,9.0
1421669,1.0,1.0
537350,2.0,1.0
1068369,2.0,2.0
864532,2.0,1.0
637861,2.0,1.0
1586182,1.0,1.0
653659,1.0,1.0
486588,1.0,1.0
1180752,2.0,9.0
1408413,2.0,1.0
1529166,1.0,2.0
124845,2.0,6.0
1334015,2.0,1.0
748357,1.0,1.0
401819,2.0,1.0
958878,2.0,1.0
681010,2.0,1.0
519601,1.0,1.0
799307,2.0,1.0
1042017,2.0,8.0
1243175,1.0,1.0
1527166,2.0,1.0
751709,2.0,1.0
1358701,1.0,1.0
613235,2.0,1.0
857352,2.0,2.0
1253351,1.0,1.0
1412431,1.0,1.0
481092,2.0,9.0
476862,1.0,6.0
1388200,2.0,1.0
928002,1.0,1.0
1417002,1.0,1.0
1621694,1.0,1.0
1341381,2.0,1.0
329209,2.0,1.0
1493447,2.0,1.0
200825,1.0,2.0
988116,1.0,1.0
1239473,2.0,1.0
581254,1.0,1.0
1164056,2.0,1.0
863060,1.0,1.0
427888,1.0,1.0
489933,2.0,1.0
310133,2.0,1.0
679344,2.0,2.0
365810,2.0,1.0
140478,1.0,9.0
1136643,1.0,1.0
1362236,2.0,1.0
1361528,1.0,1.0
1234394,1.0,1.0
96657,1.0,1.0
388542,1.0,1.0
1298300,1.0,1.0
962121,2.0,1.0
626146,2.0,1.0
598541,2.0,1.0
1599568,1.0,1.0
213349,2.0,8.0
1033206,2.0,1.0
968721,2.0,1.0
1557156,2.0,1.0
1559053,1.0,1.0
478670,2.0,1.0
1606573,2.0,1.0
267134,2.0,1.0
1623386,2.0,1.0
1655331,2.0,3.0
1338946,1.0,1.0
1466336,1.0,1.0
632388,1.0,1.0
221528,1.0,1.0
1038189,1.0,2.0
456973,1.0,1.0
1331775,2.0,1.0
432316,1.0,1.0
1529208,1.0,1.0
917050,2.0,1.0
124135,2.0,1.0
457555,1.0,1.0
1400854,2.0,5.0
607569,1.0,1.0
1496880,1.0,1.0
1065741,1.0,8.0
1482253,1.0,1.0
452003,2.0,2.0
1499003,1.0,6.0
422912,2.0,1.0
217651,1.0,6.0
1207800,2.0,1.0
585015,2.0,1.0
675349,2.0,1.0
1537046,2.0,1.0
832973,2.0,1.0
478455,1.0,1.0
188645,1.0,8.0
1235441,2.0,1.0
930580,2.0,1.0
315327,2.0,1.0
381329,2.0,1.0
907671,2.0,6.0
1480513,1.0,1.0
1524774,1.0,1.0
890102,1.0,1.0
399719,1.0,9.0
1557506,2.0,2.0
368031,1.0,1.0
1449816,1.0,1.0
897564,1.0,2.0
1204696,2.0,1.0
16038,2.0,1.0
1586106,1.0,1.0
466125,1.0,1.0
334324,1.0,1.0
820000,2.0,1.0
1118634,1.0,1.0
965197,2.0,1.0
2730,1.0,1.0
588453,2.0,1.0
863323,1.0,1.0
308288,1.0,1.0
183749,2.0,2.0
181978,1.0,2.0
172851,1.0,1.0
699230,1.0,1.0
1455654,1.0,1.0
1496488,2.0,8.0
1455030,2.0,1.0
759350,2.0,1.0
1133671,2.0,1.0
211893,1.0,1.0
833882,2.0,1.0
536687,1.0,1.0
357330,2.0,1.0
858779,2.0,1.0
31098,1.0,1.0
586338,2.0,2.0
555189,1.0,1.0
649344,1.0,1.0
1392940,1.0,2.0
26684,2.0,6.0
658238,1.0,1.0
933592,2.0,1.0
878906,1.0,9.0
1257614,1.0,1.0
116520,2.0,1.0
973992,2.0,1.0
569226,1.0,1.0
1660256,2.0,8.0
1173321,2.0,1.0
1317127,2.0,2.0
886292,1.0,1.0
620641,1.0,1.0
163547,1.0,6.0
415924,1.0,2.0
1033581,1.0,1.0
1382240,1.0,1.0
67556,2.0,1.0
1264190,1.0,2.0
1486826,1.0,1.0
891136,1.0,2.0
138040,1.0,1.0
395536,1.0,1.0
382158,1.0,1.0
454301,2.0,1.0
1402453,2.0,1.0
816718,2.0,1.0
1250726,1.0,1.0
566937,1.0,1.0
414607,2.0,1.0
299946,1.0,1.0
1544659,1.0,1.0
1255770,2.0,1.0
1110782,2.0,1.0
241504,1.0,1.0
272243,2.0,1.0
987305,1.0,1.0
1418519,1.0,1.0
1434956,1.0,1.0
132583,1.0,3.0
308565,1.0,1.0
1612328,2.0,1.0
1013114,1.0,1.0
1500325,2.0,1.0
1299894,2.0,2.0
587280,1.0,1.0
1236865,1.0,1.0
850717,2.0,1.0
1361336,1.0,1.0
1558512,2.0,2.0
1082116,1.0,1.0
1660521,1.0,1.0
849410,1.0,1.0
390481,2.0,1.0
1110910,2.0,2.0
1222937,2.0,1.0
1061445,2.0,1.0
1247721,1.0,1.0
243926,1.0,1.0
169382,1.0,1.0
1037109,2.0,8.0
500562,2.0,1.0
1626589,2.0,1.0
1290805,2.0,1.0
1058514,2.0,2.0
570345,2.0,1.0
1226825,1.0,1.0
930476,2.0,1.0
67268,1.0,1.0
1528386,1.0,1.0
1195561,2.0,1.0
1457247,1.0,1.0
581956,1.0,1.0
611915,2.0,1.0
181943,2.0,1.0
1305847,1.0,1.0
889203,2.0,1.0
1214483,1.0,1.0
1278163,1.0,1.0
721973,2.0,1.0
1236931,2.0,1.0
1098703,1.0,2.0
389686,1.0,1.0
210296,1.0,1.0
850235,1.0,1.0
1041079,2.0,1.0
544676,2.0,2.0
1307468,1.0,1.0
1069826,1.0,2.0
1299838,1.0,1.0
111198,2.0,8.0
1663828,1.0,1.0
1224701,1.0,8.0
883524,2.0,1.0
1451066,2.0,1.0
118722,1.0,6.0
528664,2.0,6.0
1080141,2.0,1.0
384093,1.0,1.0
394685,2.0,6.0
270724,1.0,1.0
1615556,2.0,1.0
451437,1.0,1.0
242598,2.0,1.0
604256,2.0,1.0
856361,1.0,1.0
1015373,2.0,8.0
815738,2.0,1.0
933767,2.0,1.0
1503775,2.0,1.0
822188,2.0,1.0
300638,2.0,6.0
1278272,1.0,1.0
1037370,1.0,1.0
1260735,1.0,1.0
1530858,1.0,1.0
1035445,2.0,2.0
878289,1.0,1.0
1418830,2.0,1.0
756073,2.0,6.0
1067381,2.0,1.0
1182360,2.0,1.0
24734,1.0,9.0
397726,2.0,1.0
1564007,1.0,1.0
428228,2.0,1.0
149496,2.0,6.0
168290,2.0,6.0
801036,1.0,1.0
470000,2.0,1.0
1523876,2.0,1.0
401651,1.0,1.0
1305697,1.0,1.0
1089230,2.0,1.0
1358694,1.0,1.0
115429,1.0,8.0
59287,2.0,1.0
608654,1.0,1.0
1335238,1.0,1.0
1545269,1.0,1.0
890830,2.0,1.0
1366148,1.0,1.0
134979,1.0,1.0
1562626,1.0,1.0
787284,1.0,1.0
887777,2.0,1.0
1565137,1.0,1.0
615290,2.0,1.0
141269,2.0,8.0
534667,1.0,1.0
656828,1.0,1.0
883565,1.0,1.0
1019046,2.0,1.0
450142,1.0,2.0
1342594,1.0,6.0
856984,1.0,1.0
1308523,1.0,1.0
908546,1.0,1.0
564395,2.0,1.0
230051,2.0,6.0
912251,1.0,1.0
659523,1.0,1.0
203343,1.0,8.0
1625221,1.0,1.0
182525,1.0,1.0
659349,1.0,1.0
1314892,2.0,2.0
1443429,1.0,1.0
936280,1.0,2.0
356582,1.0,1.0
1634045,2.0,1.0
215100,2.0,6.0
983986,1.0,1.0
595999,2.0,1.0
368695,2.0,1.0
266312,2.0,1.0
62540,1.0,1.0
524713,1.0,1.0
1130530,1.0,1.0
78359,1.0,8.0
1329125,2.0,1.0
1399938,2.0,2.0
41055,2.0,2.0
216066,1.0,8.0
1458965,2.0,1.0
1632597,2.0,1.0
1447171,2.0,1.0
790607,2.0,1.0
112272,1.0,1.0
868025,1.0,1.0
874628,1.0,1.0
1184805,1.0,1.0
247443,2.0,2.0
1150600,2.0,1.0
1240272,2.0,1.0
746420,1.0,6.0
273077,2.0,1.0
501041,2.0,2.0
1655168,1.0,1.0
75517,2.0,1.0
1118797,1.0,1.0
272227,1.0,1.0
1653798,1.0,1.0
883044,1.0,1.0
782721,2.0,1.0
1285345,2.0,2.0
606932,2.0,1.0
381391,2.0,1.0
470166,2.0,1.0
941191,1.0,1.0
359482,1.0,1.0
522943,2.0,1.0
670706,1.0,1.0
1123899,2.0,1.0
409705,1.0,1.0
788799,1.0,1.0
1604105,1.0,1.0
430083,2.0,1.0
510142,1.0,1.0
496553,1.0,1.0
426311,2.0,1.0
1397173,2.0,1.0
175834,1.0,1.0
1259222,2.0,1.0
1184890,2.0,1.0
207622,2.0,2.0
1233896,2.0,2.0
1311681,1.0,1.0
1521972,2.0,9.0
302903,1.0,1.0
632474,1.0,1.0
13189,1.0,1.0
250082,1.0,1.0
292588,2.0,1.0
256837,2.0,1.0
414814,2.0,6.0
1528118,2.0,2.0
155694,1.0,9.0
1226547,1.0,1.0
995046,1.0,1.0
638095,2.0,1.0
583281,1.0,1.0
1110453,2.0,1.0
1502870,1.0,3.0
487264,2.0,1.0
1590221,1.0,1.0
191834,2.0,1.0
293089,1.0,9.0
517357,1.0,1.0
962153,1.0,3.0
281279,2.0,1.0
699834,1.0,1.0
418464,2.0,1.0
1612851,2.0,1.0
1402140,2.0,1.0
890032,1.0,1.0
1251946,1.0,1.0
1451021,2.0,8.0
467479,2.0,2.0
1204385,1.0,1.0
612918,2.0,1.0
434600,1.0,6.0
569107,1.0,1.0
53189,1.0,1.0
653071,1.0,1.0
829492,2.0,1.0
1263907,2.0,1.0
511118,2.0,1.0
19419,1.0,1.0
1215148,2.0,1.0
851825,2.0,1.0
1072415,1.0,1.0
564926,1.0,6.0
1630214,2.0,1.0
1657427,2.0,1.0
514130,1.0,1.0
616411,1.0,1.0
496638,1.0,1.0
994864,2.0,1.0
873680,1.0,1.0
27208,2.0,8.0
402971,1.0,1.0
1639208,1.0,1.0
127993,1.0,8.0
98508,2.0,1.0
262658,1.0,1.0
799110,1.0,1.0
661299,1.0,1.0
1614646,2.0,1.0
777923,1.0,8.0
1256669,1.0,1.0
1382861,2.0,1.0
10917,1.0,1.0
1483629,2.0,1.0
36747,2.0,1.0
536942,2.0,2.0
71421,2.0,1.0
949624,2.0,1.0
813567,1.0,1.0
89392,2.0,8.0
1316970,1.0,2.0
432390,1.0,1.0
1292667,1.0,6.0
855429,2.0,1.0
1603557,2.0,1.0
875266,1.0,1.0
229714,2.0,1.0
394557,1.0,2.0
1303312,2.0,1.0
341630,1.0,1.0
1099502,2.0,2.0
454250,2.0,1.0
790663,1.0,1.0
1138641,1.0,1.0
604188,2.0,1.0
165719,2.0,1.0
267140,2.0,2.0
1295529,2.0,1.0
900292,2.0,2.0
770468,1.0,1.0
802363,1.0,1.0
1511244,2.0,1.0
1460919,2.0,1.0
435281,1.0,1.0
1078590,1.0,6.0
1564781,2.0,1.0
685858,1.0,1.0
1228451,1.0,2.0
1534245,2.0,1.0
153423,1.0,9.0
1027461,1.0,1.0
1571281,2.0,2.0
885811,1.0,1.0
10012,2.0,2.0
874431,2.0,1.0
684650,2.0,9.0
325813,2.0,1.0
647498,1.0,1.0
511011,2.0,1.0
1451964,1.0,1.0
1078833,1.0,1.0
1283969,2.0,1.0
1445572,1.0,1.0
67195,2.0,1.0
357069,1.0,1.0
581837,2.0,1.0
1079923,1.0,1.0
1419555,2.0,1.0
1191932,1.0,1.0
729718,2.0,1.0
655575,1.0,2.0
1424752,1.0,1.0
1091162,1.0,2.0
1137030,1.0,1.0
862515,1.0,1.0
1327075,2.0,1.0
1536272,2.0,1.0
708857,2.0,1.0
411230,2.0,1.0
84065,1.0,1.0
1248450,2.0,1.0
760079,1.0,1.0
1105433,1.0,3.0
333580,2.0,1.0
397155,1.0,1.0
1465857,1.0,1.0
1402332,1.0,6.0
67775,1.0,1.0
1268592,2.0,1.0
199527,2.0,1.0
1504345,2.0,1.0
1065912,1.0,1.0
909261,1.0,1.0
665263,1.0,1.0
1077625,2.0,1.0
313660,1.0,1.0
882890,1.0,1.0
24952,1.0,1.0
961840,2.0,1.0
228636,1.0,8.0
1237138,2.0,1.0
489121,1.0,1.0
250185,1.0,2.0
859773,1.0,2.0
1250871,1.0,1.0
639569,2.0,1.0
974025,1.0,1.0
612428,1.0,1.0
119047,1.0,3.0
1246501,1.0,1.0
980069,1.0,1.0
